sqft,bedrooms,bathrooms,age,distance_km,price_lakhs
2182,1,4,8,5.0,136.8
2055,2,3,16,22.4,113.26
3973,4,2,23,6.8,250.54
2594,2,4,20,9.5,160.5
1756,5,1,18,3.5,139.18
3876,3,3,26,6.3,243.23
2049,1,1,6,13.5,119.51
1666,1,4,22,15.6,100.31
3986,4,3,8,6.9,256.66
1896,2,4,6,2.4,139.8
3830,4,1,12,10.4,232.04
3203,3,3,10,6.6,204.99
970,4,1,13,6.3,75.74
3518,1,4,18,24.0,180.94
1535,1,4,10,15.8,101.49
1853,5,1,12,14.4,126.62
3283,5,3,13,11.0,215.2
3331,3,1,12,11.3,201.84
1467,2,4,0,14.0,99.74
857,4,1,7,17.7,58.59
3519,3,4,11,17.9,211.75
3979,5,1,18,5.1,258.37
1167,4,3,11,13.0,85.84
872,5,3,7,10.9,71.94
1531,4,1,7,21.9,93.02
1645,2,1,28,16.2,95.05
1871,3,3,20,13.8,111.68
3223,4,4,12,3.8,213.0
589,1,3,11,15.5,41.71
3245,1,4,28,3.8,210.06
3887,4,1,15,9.1,230.57
3749,4,1,0,4.4,234.43
1039,4,4,12,17.6,83.92
3279,1,1,25,6.0,193.17
1368,1,4,6,10.4,91.74
540,4,2,27,22.5,27.79
1239,5,3,25,5.9,106.23
2446,5,2,4,13.2,169.66
3049,2,4,7,11.1,200.47
3506,3,3,24,1.4,226.83
3716,5,4,26,20.0,230.62
1724,1,3,13,2.7,116.07
1428,5,3,22,12.4,120.07
2536,2,3,29,14.5,144.99
3008,2,3,12,16.1,174.76
3279,3,4,14,17.5,208.29
3299,5,3,22,7.1,209.75
1424,1,3,16,1.2,92.24
3456,1,2,14,18.4,190.5
2081,4,1,19,13.9,130.67
3824,1,1,17,21.1,201.06
889,3,2,17,20.7,60.72
2117,3,2,1,21.2,124.55
3430,1,4,3,12.6,207.15
755,1,4,29,9.0,51.82
1208,4,4,0,20.0,88.98
2338,1,2,3,11.8,140.42
2444,4,2,17,5.4,169.4
2997,4,3,4,21.5,195.54
509,1,4,18,22.2,31.55
3371,2,4,14,12.2,192.61
1297,2,4,27,2.8,96.98
3813,4,1,7,10.3,235.3
3822,1,3,19,20.3,213.93
1376,2,4,16,22.6,83.08
1528,1,4,0,5.9,117.73
3690,1,4,11,2.6,231.89
1515,1,1,25,22.1,78.6
2324,5,1,18,10.3,152.07
873,1,2,14,14.0,53.84
3636,5,3,8,24.2,224.87
2693,4,2,6,2.6,183.73
723,2,3,1,16.6,51.99
1762,2,1,28,2.8,108.7
2724,2,4,8,10.0,170.87
2302,2,2,9,20.3,134.26
1352,2,4,1,11.4,91.11
3853,2,2,18,24.9,200.06
562,2,1,10,14.4,48.44
1740,4,1,12,8.7,117.33
3374,1,1,9,6.3,199.41
3342,3,2,13,9.4,198.38
1188,5,3,17,9.9,100.13
1984,3,2,18,2.6,133.7
2133,3,3,21,9.9,131.22
2652,1,2,8,12.1,162.32
3670,1,2,24,18.3,203.7
1010,1,1,6,16.8,56.45
884,2,4,27,18.0,61.22
904,4,4,2,1.2,108.0
3370,2,3,19,6.2,210.58
1017,4,4,5,16.9,87.05
975,4,2,26,12.6,73.1
2500,3,2,20,1.1,169.93
3256,3,1,1,20.3,187.5
2168,4,1,28,19.5,123.76
2393,4,4,5,14.2,165.83
3318,2,3,2,2.6,212.7
1960,2,4,15,19.4,116.69
3594,3,4,29,15.0,213.57
3544,1,4,7,19.8,208.61
3224,4,4,1,19.0,199.46
1213,2,2,16,20.3,72.75
582,3,3,8,13.4,58.69
1668,2,2,29,4.4,111.79
3656,4,3,11,17.1,219.63
3649,4,1,2,15.9,212.85
3004,5,4,10,18.8,197.96
2401,1,2,0,5.1,154.37
2548,5,3,22,5.7,182.52
550,3,1,12,22.4,30.07
1184,2,1,14,19.0,70.02
1216,3,4,25,22.8,80.29
1969,4,3,4,19.2,130.68
948,5,2,20,15.3,77.36
1380,5,4,29,16.7,102.67
987,5,2,16,22.3,66.52
2323,3,1,24,14.9,137.94
2581,4,2,22,16.2,165.83
3919,2,2,23,4.8,233.7
2642,2,4,24,12.4,153.53
3643,3,2,5,18.2,211.59
2074,5,4,27,7.5,141.87
2701,1,1,20,5.9,163.93
749,3,4,21,8.5,71.92
1173,3,4,10,6.8,95.35
937,4,3,17,6.2,77.7
2665,2,2,3,11.2,160.77
1270,3,1,2,22.8,73.5
3877,3,4,12,13.2,238.64
767,5,1,22,5.5,73.16
2484,5,3,8,2.8,189.77
1577,1,2,20,17.7,81.53
735,4,4,5,10.2,69.64
888,1,2,25,20.7,35.72
3537,5,3,29,16.8,215.66
1262,2,3,27,20.1,67.35
2348,5,1,11,7.5,160.28
2948,4,4,1,17.6,189.35
1123,5,1,2,7.3,103.16
3314,4,3,2,23.5,197.84
3874,4,2,27,16.3,224.82
3466,4,1,11,8.8,219.76
3778,4,1,14,7.5,230.87
1752,4,2,8,5.6,132.56
3400,2,1,22,17.7,188.12
1077,1,2,7,6.2,77.2
2622,3,4,10,15.3,161.68
934,1,2,15,7.4,70.14
2650,4,4,25,16.9,177.57
3993,2,2,26,20.6,217.54
1263,5,3,24,19.7,83.99
3285,2,3,21,19.3,185.76
3353,4,4,3,5.5,232.56
1829,2,4,27,3.1,123.0
2645,2,3,0,17.8,159.97
3345,4,4,23,9.8,215.72
1858,2,2,6,11.4,125.13
3406,3,2,1,1.7,227.27
2982,3,3,23,7.2,192.25
946,2,1,27,1.8,66.44
2517,5,2,4,22.1,161.82
1831,4,4,6,6.8,137.54
748,3,1,3,14.4,61.89
665,5,1,4,1.9,84.45
3531,2,2,23,17.0,200.37
1858,5,2,0,8.8,139.29
1519,1,1,0,22.6,79.41
1041,3,1,14,22.3,68.93
1258,2,3,19,8.8,85.78
3677,4,4,18,22.6,224.16
2628,2,3,28,24.9,141.65
2680,4,2,9,20.8,161.17
1296,2,3,27,21.3,64.7
3447,5,3,17,7.0,228.44
